y	company	subway	year	size	volume
31000 	GN	0	1984	32	678
26000 	HD	1	1984	31	416
47500 	HD	1	1984	46	416
59000 	HD	1	1984	58	416
31000 	HD	1	1985	32	558
56000 	HD	1	1985	48	558
56000 	HD	1	1985	49	558
65000 	HD	1	1985	59	558
25500 	WS	1	1985	34	405
49000 	WS	1	1985	47	405
59000 	WS	1	1985	56	405
30000 	HD	1	1986	32	198
67500 	HD	1	1986	59	198
57500 	HD	1	1986	48	198
16500 	HPC	1	1983	23	2900
18750 	HPC	1	1983	25	2900
24500 	HPC	1	1983	31	2900
28500 	HPC	1	1983	34	2900
16500 	HPC	1	1983	23	1024
18750 	HPC	1	1983	25	1024
24500 	HPC	1	1983	31	1024
28500 	HPC	1	1983	34	1024
17300 	WS	0	1989	19	270
22500 	WS	0	1989	23	270
28000 	WS	0	1989	27	270
16000 	HPC	1	1983	23	900
18250 	HPC	1	1983	25	900
24500 	HPC	1	1983	31	900
28250 	HPC	1	1983	34	900
24000 	WS	1	1987	31	261
24750 	WS	1	1987	34	261
28500 	WS	2	1991	32	232
47500 	GN	0	1984	45	678
47500 	GN	0	1984	48	678
56500 	GN	0	1984	56	678
64000 	GN	0	1984	59	678
21500 	AJ	1	1978	31	308
31500 	AJ	1	1978	42	308
24000 	DH	1	1986	33	500
43500 	DH	1	1986	45	500
53500 	DH	1	1986	55	500
13250 	SDA	1	1997	16	644
30000 	SDA	1	1997	31	644
30000 	SDA	1	1997	37	644
42500 	SDA	1	1997	42	644
21500 	JY	1	1978	31	120
31500 	JY	1	1978	40	120
36000 	WS	2	1984	31	1140
65500 	WS	2	1984	45	1140
90000 	WS	2	1984	55	1140
102500 	WS	2	1984	65	1140
34000 	GJ	1	1982	32	200
55500 	GJ	1	1982	48	200
31500 	SK	1	1985	31	1034
49500 	SK	1	1986	42	1034
59000 	SK	1	1983	45	1034
59000 	SK	1	1987	48	1034
72500 	SK	1	1988	55	1034
72500 	SK	1	1989	57	1034
27500 	CW	1	1979	31	1378
34000 	CW	1	1979	35	1378
48500 	CW	1	1979	43	1378
58500 	CW	1	1979	49	1378
29500 	HB	1	1983	34	1204
53500 	HB	1	1983	46	1204
72000 	HB	1	1983	57	1204
96000 	HB	1	1983	66	1204
27500 	HB	1	1984	34	1232
46000 	HB	1	1984	41	1232
76500 	HB	1	1984	55	1232
96000 	HB	1	1984	65	1232
22250 	HB	1	1979	31	4424
26000 	HB	1	1979	34	4424
28000 	SY	1	1983	31	882
48000 	SY	1	1983	43	882
47500 	SY	1	1983	46	882
58000 	SY	1	1983	53	882
25000 	DL	1	1991	34	182
15250 	DS	1	1980	18	474
18500 	DS	1	1981	23	474
24000 	DS	1	1982	29	474
25500 	DS	1	1983	30	474
33000 	DS	1	1984	38	474
40500 	DS	1	1985	42	474
49000 	DS	1	1987	54	474
20000 	SS	1	1995	28	132
27000 	SS	1	1995	39	132
31500 	SH	2	1984	43	144
25500 	Lu	2	1993	34	1094
50000 	Lu	2	1993	45	1094
24250 	SI	2	1983	35	247
45500 	SI	2	1983	52	247
19000 	WS	2	1987	28	390
21500 	WS	2	1987	31	390
29500 	WS	1	1985	34	459
56500 	WS	1	1985	46	459
66000 	WS	1	1985	55	459
22500 	WS	1	1986	28	180
26500 	WS	1	1986	31	180
17500 	HS	1	1985	23	620
19500 	HS	1	1985	26	620
29000 	HS	1	1985	32	620
18000 	HS	0	1988	24	421
26000 	HS	0	1988	31	421
39500 	HS	0	1988	42	421
23750 	HD	2	1992	36	211
26000 	HD	0	1995	37	171
27000 	CG	1	1991	34	170
27000 	CG	1	1991	35	170
23500 	CW	1	1981	31	370
25500 	CW	1	1981	35	370
54500 	CW	1	1981	54	370
13000 	SI	1	1992	22	645
15000 	SI	1	1992	26	645
23250 	SI	1	1992	34	645
10100 	JH	1	1993	15	1403
11750 	JH	1	1993	17	1403
16350 	JH	1	1993	21	1403
20000 	DI	1	1993	22	330
31000 	DI	1	1993	31	330
17500 	SS	1	1997	23	680
25000 	SS	1	1997	31	680
9300 	SDA	1	1992	15	1162
10700 	SDA	1	1992	17	1162
12450 	SDA	1	1992	18	1162
13200 	SDA	1	1992	21	1162
32000 	HL	1	1993	37	468
43000 	HL	1	1993	46	468
59500 	HL	1	1993	57	468
24000 	CPC	1	1987	32	950
27000 	CPC	1	1982	34	340
45000 	CPC	1	1987	47	950
52500 	CPC	1	1982	50	340
56000 	CPC	1	1987	56	950
67500 	CPC	1	1982	58	340
33500 	CPC	1	1982	35	2117
33500 	CPC	1	1982	36	2117
36500 	CPC	1	1982	39	2117
70500 	CPC	1	1982	50	2117
63500 	CPC	1	1982	51	2117
67500 	CPC	1	1982	56	2117
69000 	CPC	1	1982	57	2117
74500 	CPC	1	1982	60	2117
81000 	CPC	1	1982	61	2117
29500 	HD	1	1976	33	3704
30500 	HD	1	1976	35	3704
40500 	HD	1	1976	43	3704
57500 	HD	1	1976	44	3704
60000 	HD	1	1976	48	3704
72500 	HD	1	1976	52	3704
63000 	HD	1	1976	53	3704
60500 	HD	1	1976	54	3704
86000 	HD	1	1976	65	3704
150000 	HD	1	1976	80	3704
16250 	HD	0	1978	20	2711
20250 	HY	0	1978	27	2711
25250 	HY	0	1978	32	2711
30500 	HY	0	1978	37	2711
62500 	HY	0	1979	49	2711
62500 	HY	0	1979	59	2711
41000 	HY	0	1980	39	2711
59000 	HY	0	1980	55	2711
27000 	HY	0	1980	33	2711
85000 	HY	0	1980	69	2711
24500 	HY	0	1981	32	2711
42500 	HY	0	1981	40	2711
67500 	HY	0	1981	54	2711
27500 	HY	0	1982	35	2711
67500 	HY	0	1982	53	2711
27500 	HY	0	1983	35	2711
57500 	HY	0	1983	46	2711
105000 	HY	0	1984	69	2711
23750 	SH	1	1978	19	1108
26000 	SH	1	1978	21	1108
33250 	SH	1	1978	26	1108
35500 	SH	1	1978	28	1108
38000 	SH	1	1978	29	1108
33000 	SH	1	1978	30	1108
32500 	SH	1	1978	31	1108
36500 	SH	1	1978	41	1108
44500 	SH	1	1978	47	1108
10000 	SH	1	1980	24	732
26000 	SH	1	1980	31	732
28000 	SH	1	1980	34	732
27500 	SH	1	1980	34	732
44000 	SH	1	1980	48	732
55500 	SH	1	1980	57	732
58000 	SH	1	1980	62	732
21000 	DB	1	1998	24	206
32500 	DB	1	1998	34	206
18500 	SDY	0	1979	25	375
22000 	SDY	0	1979	28	375
26000 	SDY	0	1979	33	375
35000 	SDY	0	1979	42	375
13250 	SH	0	1980	19	424
16500 	SH	0	1980	22	424
18000 	SH	0	1980	24	424
18500 	SH	0	1980	25	424
25500 	SH	0	1980	31	424
28500 	SH	0	1980	35	424
37500 	SH	0	1980	41	424
9500 	CPC	0	1992	14	1753
11500 	CPC	0	1992	17	1753
15350 	CPC	0	1992	21	1753
9000 	DB	0	1993	18	2934
12250 	DB	0	1993	22	2934
14375 	DB	0	1993	26	2934
26000 	DW	1	1993	27	496
33000 	DW	1	1993	31	496
11500 	CPC	1	1992	18	822
15350 	CPC	1	1992	22	822
19500 	CPC	1	1992	26	822
45000 	GJ	1	1993	37	560
64000 	GJ	1	1993	48	560
24250 	DW	1	1993	27	740
33500 	DW	1	1993	31	740
42000 	HD	1	1993	36	628
52000 	HD	1	1993	41	628
61500 	HD	1	1993	48	628
80500 	HD	1	1993	54	628
20500 	SS	1	1994	25	930
33500 	SS	1	1994	31	930
22000 	GY	0	1993	23	570
35500 	GY	0	1993	30	570
27000 	SI	1	1994	38	240
26000 	SI	1	1980	36	888
45000 	SI	1	1980	46	888
53500 	SI	1	1980	54	888
26500 	SDA	1	1997	38	106
28000 	CG	0	1997	38	116
15500 	HY	1	1982	18	647
24500 	HY	1	1982	29	647
26500 	HY	1	1982	32	647
21500 	HD	0	1999	27	317
33500 	HD	0	1999	32	317
51000 	HD	0	1999	47	317
